,,,
Plant Name,State,Latitude,Longitude
James B Black,CA,40.992295,-121.975182
Kerckhoff,CA,37.092486,-119.552826
Kilarc,CA,40.677827,-121.873253
Kings River PH,CA,36.888166,-119.158777
Lime Saddle,CA,39.698755,-121.570960
Merced Falls,CA,37.523010,-120.329905
Dynegy Moss Landing Power Plant Hybrid,CA,36.804837,-121.782241
Murphys,CA,38.147093,-120.446396
Narrows PH,CA,39.236400,-121.271741
Phoenix,CA,38.032103,-120.326537
Pit 1,CA,40.990840,-121.498243
Pit 3,CA,40.997448,-121.748139
Pit 4,CA,40.986361,-121.849440
Pit 5,CA,40.986197,-121.977594
Pit 6,CA,40.922568,-121.992906
Pit 7,CA,40.847462,-121.990798
Poe,CA,39.722892,-121.469814
Potter Valley,CA,39.361786,-123.127934
Rock Creek,CA,39.905210,-121.345226
San Joaquin 2,CA,37.203233,-119.497508
San Joaquin 3,CA,37.253718,-119.519352
Salt Springs,CA,38.497914,-120.218110
South,CA,40.395396,-121.879186
Spaulding 1,CA,39.324613,-120.644807
Spaulding 2,CA,39.324592,-120.645375
Spaulding 3,CA,39.337679,-120.635467
Spring Gap,CA,38.186530,-120.111680
Stanislaus,CA,38.139048,-120.370325
Geysers Unit 5-20,CA,38.777000,-122.745000
Tiger Creek,CA,38.449291,-120.492645
Tule River,CA,36.163076,-118.707104
Volta 1,CA,40.459111,-121.867080
West Point PH,CA,38.420898,-120.549572
Wise,CA,38.889862,-121.098525
A G Wishon,CA,37.151050,-119.504724
Copco 1,CA,41.978914,-122.335317
Copco 2,CA,41.975716,-122.358127
Fall Creek,CA,41.985605,-122.360455
Iron Gate,CA,41.932981,-122.436780
Limestone,TX,31.421900,-96.252500
Blundell,UT,38.488900,-112.853300
Silver Gate,CA,32.697222,-117.114722
Refuse & Coal,OH,39.902222,-83.024444
Green Lake,AK,56.986284,-135.122750
Drop 5 (CA),CA,32.673097,-115.392026
AES Alamitos LLC,CA,33.768800,-118.100900
Sepulveda Canyon,CA,34.096900,-118.479500
Big Creek 1,CA,37.204200,-119.239600
Big Creek 2,CA,37.200000,-119.306900
Big Creek 3,CA,37.148517,-119.386623
Big Creek 4,CA,37.139000,-119.489800
Big Creek 8,CA,37.209600,-119.328900
Big Creek 2A,CA,37.200062,-119.306810
Bishop Creek 2,CA,37.273581,-118.573339
Bishop Creek 3,CA,37.301962,-118.531957
Bishop Creek 4,CA,37.323035,-118.501714
Bishop Creek 5,CA,37.334400,-118.479700
Bishop Creek 6,CA,37.349900,-118.462800
Borel,CA,35.588069,-118.524804
Fontana,CA,34.155162,-117.397119
AES Huntington Beach LLC,CA,33.643900,-117.979200
Kaweah 2,CA,36.461326,-118.879880
Kaweah 1,CA,36.465066,-118.862023
Kaweah 3,CA,36.486059,-118.835645
Kern River 3,CA,35.776185,-118.436233
Kern River 1,CA,35.460303,-118.779590
Long Beach Generation LLC,CA,33.764100,-118.224800
Lundy,CA,38.042729,-119.172015
Mammoth Pool,CA,37.220302,-119.337983
Ormond Beach,CA,34.129200,-119.168900
Poole,CA,37.944237,-119.216100
Portal,CA,37.257045,-119.158936
Rush Creek,CA,37.766954,-119.123284
Mountainview Generating Station,CA,34.081800,-117.241800
San Onofre Nuclear Generating Station,CA,33.368794,-117.554916
Santa Ana 1,CA,34.145220,-117.058481
Santa Ana 3,CA,34.107245,-117.099091
Lower Tule River,CA,36.135680,-118.788868
Columbia Generating Station,WA,46.471100,-119.333900
Magnolia,CA,34.178056,-118.315556
Pardee,CA,38.256900,-120.850700
Grayson,CA,34.155600,-118.278200
Prairie River,MN,47.287206,-93.498266
Dion R Holm,CA,37.896649,-119.967500
Moccasin,CA,37.809388,-120.299254
R C Kirkwood,CA,37.877667,-119.953233
Brawley,CA,32.968889,-115.534444
Joliet 29,IL,41.494636,-88.123827
Drop 2 (CA),CA,32.705435,-115.030975
Drop 3 (CA),CA,32.705428,-115.126103
Drop 4,CA,32.705341,-115.219067
Pilot Knob,CA,32.736642,-114.713858
El Centro Hybrid,CA,32.802222,-115.540000
Solomon Gulch,AK,61.082800,-146.303300
Big Pine Creek,CA,37.142795,-118.324075
Castaic,CA,34.587237,-118.656638
Control Gorge,CA,37.437921,-118.556988
Cottonwood,CA,36.443421,-118.043890
Foothill,CA,34.318248,-118.494449
Franklin (CA),CA,34.103931,-118.413377
Haiwee,CA,36.109722,-117.956667
Harbor,CA,33.770600,-118.265600
Haynes,CA,33.764741,-118.099130
Middle Gorge,CA,37.510000,-118.569167
Pleasant Valley Hydro,CA,37.414160,-118.523889
San Fernando,CA,34.312778,-118.492778
Scattergood,CA,33.918151,-118.427648
Tok,AK,63.335520,-142.999970
Upper Gorge,CA,37.546036,-118.590001
Valley (CA),CA,34.244991,-118.391327
Exchequer,CA,37.584345,-120.268590
McSwain,CA,37.522065,-120.310090
Chicago Park,CA,39.177903,-120.890856
Dutch Flat 2,CA,39.218400,-120.835200
Beardsley,CA,38.202569,-120.076983
Donnells,CA,38.246656,-120.034072
Tulloch,CA,37.876111,-120.605000
Forbestown,CA,39.551012,-121.278784
Kelly Ridge,CA,39.531784,-121.491247
Woodleaf,CA,39.553811,-121.204077
Broadway (CA),CA,34.125400,-118.148000
Craig (AK),AK,55.476910,-133.148690
Glenarm,CA,34.126000,-118.149400
Hydaburg,AK,55.204937,-132.821435
French Meadows,CA,39.077971,-120.406069
Middle Fork,CA,39.024801,-120.596383
Oxbow (CA),CA,39.003372,-120.746651
Ralston,CA,39.000999,-120.725053
Parker,CA,37.477838,-120.444492
Camino,CA,38.828810,-120.537089
Jaybird,CA,38.834050,-120.531760
Loon Lake,CA,38.982697,-120.324503
Robbs Peak,CA,38.896511,-120.378292
White Rock/Slab Creek,CA,38.765336,-120.787366
Devil Canyon,CA,34.205600,-117.334400
Edward C Hyatt,CA,39.542985,-121.492188
Thermalito,CA,39.514893,-121.630077
Don Pedro,CA,37.695994,-120.420152
La Grange,CA,37.669700,-120.443600
Folsom,CA,38.706750,-121.158443
Judge F Carr,CA,40.646934,-122.626973
Keswick,CA,40.611858,-122.446441
Nimbus,CA,38.637350,-121.220198
Shasta,CA,40.717455,-122.422274
ONeill,CA,37.098671,-121.047718
Parker Dam,CA,34.295334,-114.140222
W R Gianelli,CA,37.069200,-121.077200
Spring Creek,CA,40.628115,-122.467509
Trinity,CA,40.797296,-122.762553
Colgate,CA,39.330833,-121.191666
Narrows 2,CA,39.238996,-121.270409
Bear Valley,CA,33.166246,-117.016566
Pueblo,CO,38.266700,-104.614400
W N Clark,CO,38.434400,-105.250000
Alamosa,CO,37.459400,-105.894700
Arapahoe,CO,39.670000,-105.002800
Boulder Canyon Hydro,CO,40.004725,-105.332495
Cabin Creek,CO,39.655100,-105.708800
Cameo,CO,39.127778,-108.326111
Cherokee,CO,39.807275,-104.964548
Comanche (CO),CO,38.208100,-104.574700
Fruita,CO,39.136400,-108.734700
Georgetown Hydro,CO,39.691900,-105.697800
Salida,CO,38.534190,-106.182003
Shoshone (CO),CO,39.570130,-107.226876
Valmont,CO,40.019500,-105.202000
Zuni,CO,39.737348,-105.016991
Temescal,CA,33.834300,-117.497100
Corona,CA,33.858950,-117.610600
Perris,CA,33.836100,-117.183100
Rio Hondo,CA,34.004722,-118.099170
Coyote Creek,CA,33.924930,-117.955170
Red Mountain,CA,33.394400,-117.188900
Valley View,CA,33.900100,-117.829050
Upper Dawson,CA,37.650800,-120.470600
South Plant (CO),CO,38.824444,-104.833333
George Birdsall,CO,38.881389,-104.816944
Manitou Springs,CO,38.855556,-104.933056
Ruxton Park,CO,38.841354,-104.973802
Holly,CO,38.032717,-102.073659
Julesburg,CO,40.950500,-102.279500
Boysen,WY,43.417872,-108.177545
Las Animas,CO,38.064700,-103.215900
Lamar Plant,CO,38.033327,-102.537915
Sonoma California Geothermal,CA,38.790300,-122.755900
Trinidad (CO),CO,37.178979,-104.487492
Blue Mesa,CO,38.453191,-107.337483
Estes,CO,40.376771,-105.509665
Morrow Point,CO,38.451753,-107.539299
Big Thompson,CO,40.421031,-105.223804
Green Mountain,CO,39.878805,-106.332725
Marys Lake,CO,40.344080,-105.534308
Flatiron,CO,40.364996,-105.236032
Pole Hill,CO,40.365056,-105.325074
Lower Molina,CO,39.193660,-108.044088
Upper Molina,CO,39.143808,-108.004777
Hayden,CO,40.485600,-107.185000
Nucla,CO,38.238300,-108.506900
Rancho Seco Solar,CA,38.340015,-121.113861
Sacramento Municipal Util Dist,CA,39.048802,-121.316966
McWilliams,AL,31.400255,-86.476449
Jones Fork,CA,38.850283,-120.381883
McClellan (CA),CA,38.652731,-121.393336
Camanche,CA,38.226800,-121.024500
Rocky River (CT),CT,41.582600,-73.434900
Branford,CT,41.292500,-72.794200
Bulls Bridge,CT,41.659046,-73.491984
Cos Cob,CT,41.028900,-73.598900
Devon Station,CT,41.209797,-73.108976
Montville Station,CT,41.428100,-72.101900
Northfield Mountain,MA,42.610683,-72.471643
Kettle Falls Generating Station,WA,48.620336,-118.111059
Scotland Dam,CT,41.665100,-72.122100
Shepaug,CT,41.448420,-73.295321
Stevenson,CT,41.383300,-73.171400
Taftville,CT,41.572500,-72.045800
Tunnel,CT,41.555425,-72.041829
Rainbow (CT),CT,41.915312,-72.693616
Falls Village,CT,41.957272,-73.369297
Franklin Drive,CT,41.798943,-73.116267
Middletown,CT,41.554944,-72.579075
Stanton Energy Center,FL,28.482200,-81.167800
Torrington Terminal,CT,41.776109,-73.120886
Millstone,CT,41.310700,-72.167700
Bridgeport Station,CT,41.170600,-73.184400
High Falls,NY,41.828814,-74.131877
North Main Street,CT,41.526790,-72.064935
Tenth Street,CT,41.538955,-72.050936
Navajo Dam,NM,36.806100,-107.613100
Drop 1,CA,32.711611,-114.942666
East Highline,CA,32.699451,-115.282450
J C McNeil,VT,44.491700,-73.208056
Christiana,DE,39.730200,-75.537100
Delaware City 10,DE,39.600408,-75.626811
Edge Moor,DE,39.738860,-75.503840
Indian River Generating Station,DE,38.585700,-75.234100
West Station (DE),DE,39.728300,-75.628900
McKee Run,DE,39.176222,-75.546628
Brandon Shores,MD,39.182073,-76.537151
Fredonia (WA),WA,48.455800,-122.435800
Cape Canaveral,FL,28.469800,-80.764400
Cutler,FL,25.632100,-80.298900
Fort Myers,FL,26.696700,-81.783100
Lauderdale,FL,26.068600,-80.198400
Port Everglades,FL,26.085600,-80.125300
Riviera,FL,26.765300,-80.052500
Sanford,FL,28.841900,-81.325600
Turkey Point,FL,25.435600,-80.330800
South Fork Tolt,WA,47.699167,-121.783333
Avon Park,FL,27.579444,-81.492778
Upper Mechanicville,NY,42.912600,-73.680500
Oak Flat,CA,40.075310,-121.161430
Bayboro,FL,27.758056,-82.635278
Crystal River,FL,28.965600,-82.697700
G E Turner,FL,28.869577,-81.273957
Higgins,FL,28.003262,-82.661507
Newcastle,CA,38.835182,-121.092982
P L Bartow,FL,27.859535,-82.601759
Rio Pinar,FL,28.541515,-81.254067
Suwannee River,FL,30.376389,-83.180556
Gulf Clean Energy Center,FL,30.566100,-87.224400
Scholz,FL,30.669200,-84.886900
Lansing Smith,FL,30.268600,-85.700300
Big Bend,FL,27.794400,-82.403600
F J Gannon,FL,27.907222,-82.423055
Hookers Point,FL,27.937500,-82.444444
Vogtle,GA,33.142700,-81.762500
Kensico,NY,41.085100,-73.774800
Henry D King,FL,27.448611,-80.338611
Deerhaven Generating Station,FL,29.759200,-82.387800
John R Kelly,FL,29.646100,-82.320800
G W Ivey,FL,25.475600,-80.470000
J D Kennedy,FL,30.364818,-81.625967
Northside Generating Station,FL,30.417200,-81.552500
